행정구역별(1),행정구역별(2),면적 (㎢),남자,여자,인구밀도 (명/㎢),인구증가율 (%)
서울특별시,종로구,23.91 ,75967.00 ,78803.00 ,6472.27 ,1.33 
서울특별시,중구,9.96 ,62253.00 ,63456.00 ,12621.65 ,0.37 
서울특별시,용산구,21.87 ,110878.00 ,118283.00 ,10480.02 ,-0.47 
서울특별시,성동구,16.86 ,150368.00 ,154440.00 ,18082.00 ,1.85 
서울특별시,광진구,17.06 ,174414.00 ,183289.00 ,20963.37 ,0.14 
서울특별시,동대문구,14.22 ,175324.00 ,175323.00 ,24667.38 ,-1.25 
서울특별시,중랑구,18.50 ,203325.00 ,204901.00 ,22071.82 ,-0.68 
서울특별시,성북구,24.57 ,216556.00 ,227499.00 ,18070.71 ,-1.40 
서울특별시,강북구,23.60 ,158918.00 ,165561.00 ,13748.78 ,-0.83 
서울특별시,도봉구,20.67 ,168759.00 ,175407.00 ,16651.91 ,-1.16 
서울특별시,노원구,35.44 ,269508.00 ,284895.00 ,15644.35 ,-2.32 
서울특별시,은평구,29.71 ,236353.00 ,250441.00 ,16385.21 ,-0.95 
서울특별시,서대문구,17.63 ,151144.00 ,161656.00 ,17746.25 ,-0.44 
서울특별시,마포구,23.85 ,178939.00 ,195976.00 ,15718.31 ,-1.31 
서울특별시,양천구,17.41 ,232518.00 ,238636.00 ,27067.22 ,-1.38 
서울특별시,강서구,41.44 ,292989.00 ,308702.00 ,14520.68 ,1.04 
서울특별시,구로구,20.12 ,204003.00 ,206739.00 ,20414.66 ,-1.63 
서울특별시,금천구,13.02 ,119497.00 ,115657.00 ,18060.76 ,-0.10 
서울특별시,영등포구,24.55 ,183975.00 ,184575.00 ,15013.33 ,-0.56 
서울특별시,동작구,16.35 ,193255.00 ,202962.00 ,24227.21 ,-1.19 
서울특별시,관악구,29.57 ,253661.00 ,249636.00 ,17021.19 ,-0.70 
서울특별시,서초구,46.99 ,211236.00 ,229866.00 ,9388.03 ,-1.36 
서울특별시,강남구,39.50 ,266442.00 ,289722.00 ,14079.69 ,-1.93 
서울특별시,송파구,33.87 ,323147.00 ,341349.00 ,19616.20 ,1.01 
서울특별시,강동구,24.59 ,216777.00 ,219446.00 ,17740.60 ,-1.79 
부산광역시,중구,2.83 ,21662.00 ,22556.00 ,15624.73 ,-2.19 
부산광역시,서구,13.98 ,53873.00 ,56166.00 ,7871.17 ,-2.60 
부산광역시,동구,9.74 ,43927.00 ,44941.00 ,9124.02 ,-1.07 
부산광역시,영도구,14.19 ,61156.00 ,62365.00 ,8704.79 ,-2.25 
부산광역시,부산진구,29.67 ,181502.00 ,190201.00 ,12527.91 ,-1.28 
부산광역시,동래구,16.63 ,132673.00 ,138054.00 ,16279.43 ,-0.74 
부산광역시,남구,26.81 ,134592.00 ,139262.00 ,10214.62 ,-1.77 
부산광역시,북구,39.37 ,150355.00 ,152569.00 ,7694.28 ,-2.35 
부산광역시,해운대구,51.47 ,199630.00 ,212409.00 ,8005.42 ,-1.86 
부산광역시,사하구,41.89 ,166434.00 ,166867.00 ,7956.58 ,-0.39 
부산광역시,금정구,65.27 ,120153.00 ,124316.00 ,3745.50 ,-0.06 
부산광역시,강서구,181.49 ,60677.00 ,56705.00 ,646.77 ,7.78 
부산광역시,연제구,12.10 ,100613.00 ,106129.00 ,17086.12 ,-0.25 
부산광역시,수영구,10.21 ,85778.00 ,94218.00 ,17629.38 ,0.37 
부산광역시,사상구,36.09 ,116416.00 ,112803.00 ,6351.32 ,-1.54 
부산광역시,기장군,218.30 ,80067.00 ,81584.00 ,740.50 ,1.97 
대구광역시,중구,7.06 ,38395.00 ,40591.00 ,11187.82 ,-0.91 
대구광역시,동구,182.18 ,173301.00 ,176078.00 ,1917.77 ,-0.56 
대구광역시,서구,17.33 ,96795.00 ,95197.00 ,11078.59 ,-3.77 
대구광역시,남구,17.44 ,74133.00 ,78712.00 ,8764.05 ,-2.29 
대구광역시,북구,94.07 ,220579.00 ,220796.00 ,4691.98 ,0.23 
대구광역시,수성구,76.46 ,213939.00 ,225272.00 ,5744.32 ,-1.74 
대구광역시,달서구,62.34 ,286779.00 ,291289.00 ,9272.83 ,-2.34 
대구광역시,달성군,426.68 ,123893.00 ,119482.00 ,570.39 ,11.50 
인천광역시,중구,140.27 ,61344.00 ,56655.00 ,841.23 ,2.39 
인천광역시,동구,7.19 ,35057.00 ,34430.00 ,9664.39 ,-2.15 
인천광역시,남구,24.83 ,211602.00 ,207665.00 ,16885.50 ,0.52 
인천광역시,연수구,54.95 ,166878.00 ,168264.00 ,6099.04 ,1.98 
인천광역시,남동구,57.05 ,267290.00 ,269288.00 ,9405.40 ,1.05 
인천광역시,부평구,32.01 ,268118.00 ,271823.00 ,16867.89 ,-1.78 
인천광역시,계양구,45.57 ,161925.00 ,161859.00 ,7105.20 ,-1.97 
인천광역시,서구,116.91 ,260649.00 ,255368.00 ,4413.80 ,1.03 
인천광역시,강화군,411.43 ,34509.00 ,34245.00 ,167.11 ,1.09 
인천광역시,옹진군,172.88 ,12225.00 ,9348.00 ,124.79 ,1.04 
광주광역시,동구,49.32 ,47579.00 ,47869.00 ,1935.28 ,-0.36 
광주광역시,서구,47.78 ,150977.00 ,155980.00 ,6424.38 ,-0.85 
광주광역시,남구,60.98 ,105580.00 ,112874.00 ,3582.39 ,-0.58 
광주광역시,북구,120.30 ,217966.00 ,220814.00 ,3647.38 ,-0.52 
광주광역시,광산구,222.80 ,203193.00 ,200938.00 ,1813.87 ,0.27 
대전광역시,동구,136.70 ,116523.00 ,113993.00 ,1686.29 ,-1.89 
대전광역시,중구,62.20 ,123492.00 ,125441.00 ,4002.14 ,-1.41 
대전광역시,서구,95.50 ,240298.00 ,247150.00 ,5104.17 ,-0.73 
대전광역시,유성구,176.40 ,175744.00 ,172684.00 ,1975.22 ,1.52 
대전광역시,대덕구,68.70 ,94912.00 ,91990.00 ,2720.55 ,-3.00 
울산광역시,중구,37.01 ,121578.00 ,117074.00 ,6448.31 ,-1.60 
울산광역시,남구,73.46 ,171142.00 ,164297.00 ,4566.28 ,-1.55 
울산광역시,동구,36.04 ,89005.00 ,80600.00 ,4706.02 ,-2.81 
울산광역시,북구,157.34 ,103904.00 ,96814.00 ,1275.70 ,2.78 
울산광역시,울주군,757.33 ,113851.00 ,106867.00 ,291.44 ,0.67 
경기도,수원시,121.05 ,605835.00 ,596793.00 ,9934.97 ,0.72 
경기도,성남시,141.66 ,479225.00 ,488285.00 ,6829.80 ,-0.73 
경기도,의정부시,81.54 ,217944.00 ,223640.00 ,5415.55 ,0.71 
경기도,안양시,58.50 ,291751.00 ,296013.00 ,10047.25 ,-1.62 
경기도,부천시,53.44 ,424038.00 ,426291.00 ,15911.85 ,-0.12 
경기도,광명시,38.52 ,164878.00 ,167912.00 ,8639.41 ,-1.97 
경기도,평택시,458.08 ,246618.00 ,234912.00 ,1051.19 ,2.27 
경기도,동두천시,95.66 ,48344.00 ,48727.00 ,1014.75 ,-1.23 
경기도,안산시,155.20 ,347585.00 ,330125.00 ,4366.69 ,-1.76 
경기도,고양시,268.06 ,511564.00 ,530419.00 ,3887.13 ,0.22 
경기도,과천시,35.87 ,28085.00 ,29442.00 ,1603.76 ,-9.80 
경기도,구리시,33.31 ,99390.00 ,100652.00 ,6005.46 ,3.24 
경기도,남양주시,458.07 ,332152.00 ,333169.00 ,1452.44 ,0.48 
경기도,오산시,42.73 ,109620.00 ,103817.00 ,4995.02 ,2.29 
경기도,시흥시,137.61 ,219949.00 ,199715.00 ,3049.66 ,4.16 
경기도,군포시,36.42 ,139692.00 ,141513.00 ,7721.17 ,-1.29 
경기도,의왕시,53.99 ,77736.00 ,78031.00 ,2885.11 ,-0.64 
경기도,하남시,93.01 ,116889.00 ,115598.00 ,2499.59 ,10.13 
경기도,용인시,591.35 ,498923.00 ,505158.00 ,1697.95 ,1.31 
경기도,파주시,673.12 ,222312.00 ,215536.00 ,650.48 ,1.64 
경기도,이천시,461.43 ,108815.00 ,104327.00 ,461.92 ,1.32 
경기도,안성시,553.40 ,93574.00 ,89212.00 ,330.30 ,-0.06 
경기도,김포시,276.60 ,196801.00 ,195291.00 ,1417.54 ,7.88 
경기도,화성시,693.95 ,357381.00 ,333705.00 ,995.87 ,7.83 
경기도,광주시,431.02 ,177521.00 ,168426.00 ,802.62 ,5.56 
경기도,양주시,310.32 ,107650.00 ,104496.00 ,683.64 ,3.23 
경기도,포천시,826.65 ,80375.00 ,72550.00 ,184.99 ,-1.19 
경기도,여주시,608.34 ,56629.00 ,55355.00 ,184.08 ,0.38 
경기도,연천군,676.31 ,23790.00 ,21641.00 ,67.17 ,-1.04 
경기도,가평군,843.72 ,32276.00 ,30697.00 ,74.64 ,0.84 
경기도,양평군,877.69 ,57981.00 ,57124.00 ,131.15 ,3.36 
강원도,춘천시,1116.41 ,138159.00 ,142355.00 ,251.26 ,-0.07 
강원도,원주시,868.27 ,169742.00 ,171595.00 ,393.12 ,0.99 
강원도,강릉시,1040.21 ,106286.00 ,107666.00 ,205.68 ,0.05 
강원도,동해시,180.21 ,47067.00 ,45784.00 ,515.24 ,-0.48 
강원도,태백시,303.47 ,23196.00 ,22692.00 ,151.21 ,-2.51 
강원도,속초시,105.73 ,40531.00 ,41742.00 ,778.14 ,0.59 
강원도,삼척시,1186.95 ,34638.00 ,33876.00 ,57.72 ,-1.56 
강원도,홍천군,1820.27 ,35855.00 ,34485.00 ,38.64 ,0.38 
강원도,횡성군,997.75 ,23541.00 ,22740.00 ,46.39 ,0.63 
강원도,영월군,1127.64 ,20639.00 ,19428.00 ,35.53 ,-0.01 
강원도,평창군,1463.83 ,22021.00 ,21071.00 ,29.44 ,-0.52 
강원도,정선군,1219.77 ,19748.00 ,18425.00 ,31.30 ,-1.41 
강원도,철원군,889.46 ,24886.00 ,22299.00 ,53.05 ,-1.72 
강원도,화천군,908.92 ,14313.00 ,11709.00 ,28.63 ,-0.92 
강원도,양구군,706.57 ,12768.00 ,11067.00 ,33.73 ,-0.73 
강원도,인제군,1645.18 ,17579.00 ,15003.00 ,19.80 ,-0.42 
강원도,고성군,664.28 ,15817.00 ,14212.00 ,45.21 ,-0.28 
강원도,양양군,630.09 ,13849.00 ,13358.00 ,43.18 ,-0.04 
충청북도,청주시,940.80 ,419676.00 ,415914.00 ,890.46 ,0.05 
충청북도,충주시,983.53 ,105000.00 ,103316.00 ,214.03 ,-0.02 
충청북도,제천시,883.40 ,68428.00 ,68004.00 ,153.26 ,-0.06 
충청북도,보은군,584.22 ,17009.00 ,17044.00 ,57.65 ,-0.49 
충청북도,옥천군,537.17 ,26049.00 ,25717.00 ,95.81 ,-0.96 
충청북도,영동군,845.96 ,24960.00 ,25280.00 ,58.77 ,-0.62 
충청북도,증평군,81.80 ,19446.00 ,18337.00 ,456.19 ,1.27 
충청북도,진천군,407.25 ,38314.00 ,35363.00 ,192.06 ,5.33 
충청북도,괴산군,842.16 ,19855.00 ,19199.00 ,46.47 ,0.21 
충청북도,음성군,520.23 ,51156.00 ,46150.00 ,184.21 ,-0.49 
충청북도,단양군,781.15 ,15198.00 ,15017.00 ,38.73 ,-0.94 
충청남도,천안시,636.07 ,321435.00 ,310096.00 ,992.87 ,2.20 
충청남도,공주시,864.19 ,54437.00 ,53995.00 ,125.47 ,-1.36 
충청남도,보령시,573.90 ,52214.00 ,50984.00 ,179.82 ,-0.65 
충청남도,아산시,542.62 ,160483.00 ,150970.00 ,573.98 ,2.81 
충청남도,서산시,741.30 ,88359.00 ,83319.00 ,231.59 ,0.52 
충청남도,논산시,555.17 ,61204.00 ,61036.00 ,220.18 ,-0.79 
충청남도,계룡시,60.72 ,21834.00 ,22133.00 ,724.09 ,3.13 
충청남도,당진시,704.43 ,88026.00 ,79413.00 ,237.69 ,0.49 
충청남도,금산군,577.21 ,27181.00 ,26713.00 ,93.37 ,-1.31 
충청남도,부여군,624.53 ,34259.00 ,34827.00 ,110.62 ,-1.57 
충청남도,서천군,365.70 ,27176.00 ,27999.00 ,150.88 ,-1.49 
충청남도,청양군,479.12 ,16527.00 ,16310.00 ,68.54 ,0.26 
충청남도,홍성군,444.01 ,50530.00 ,51040.00 ,228.76 ,1.60 
충청남도,예산군,542.62 ,40280.00 ,40058.00 ,148.06 ,-1.23 
충청남도,태안군,515.78 ,32325.00 ,31607.00 ,123.95 ,0.05 
전라북도,전주시,205.50 ,319442.00 ,329522.00 ,3157.98 ,-0.43 
전라북도,군산시,396.40 ,139246.00 ,135751.00 ,693.74 ,-0.92 
전라북도,익산시,506.50 ,149587.00 ,150600.00 ,592.67 ,-0.10 
전라북도,정읍시,692.90 ,56365.00 ,57411.00 ,164.20 ,-1.21 
전라북도,남원시,752.20 ,40868.00 ,42413.00 ,110.72 ,-1.08 
전라북도,김제시,545.90 ,43110.00 ,43816.00 ,159.23 ,-0.98 
전라북도,완주군,821.10 ,49282.00 ,46693.00 ,116.89 ,0.52 
전라북도,진안군,789.10 ,13149.00 ,13122.00 ,33.29 ,0.77 
전라북도,무주군,631.90 ,12294.00 ,12515.00 ,39.26 ,-0.56 
전라북도,장수군,533.30 ,11410.00 ,11593.00 ,43.13 ,-2.65 
전라북도,임실군,597.40 ,15391.00 ,14771.00 ,50.49 ,-0.12 
전라북도,순창군,496.00 ,14349.00 ,15349.00 ,59.88 ,-0.84 
전라북도,고창군,607.70 ,29934.00 ,30538.00 ,99.51 ,-0.21 
전라북도,부안군,493.20 ,27880.00 ,28206.00 ,113.72 ,-1.61 
전라남도,목포시,51.64 ,116763.00 ,117616.00 ,4538.71 ,-1.41 
전라남도,여수시,510.54 ,145122.00 ,141260.00 ,560.94 ,-0.90 
전라남도,순천시,910.98 ,139167.00 ,140164.00 ,306.63 ,0.28 
전라남도,나주시,608.40 ,55396.00 ,54714.00 ,180.98 ,5.49 
전라남도,광양시,463.12 ,80301.00 ,75556.00 ,336.54 ,0.18 
전라남도,담양군,455.09 ,23746.00 ,23539.00 ,103.90 ,0.12 
전라남도,곡성군,547.48 ,14643.00 ,15488.00 ,55.04 ,-0.88 
전라남도,구례군,443.26 ,13392.00 ,14133.00 ,62.10 ,0.41 
전라남도,고흥군,807.23 ,32112.00 ,34624.00 ,82.67 ,-1.36 
전라남도,보성군,663.90 ,21153.00 ,22602.00 ,65.91 ,-1.61 
전라남도,화순군,786.91 ,31838.00 ,32842.00 ,82.19 ,-0.95 
전라남도,장흥군,622.32 ,19499.00 ,20637.00 ,64.49 ,-1.31 
전라남도,강진군,500.95 ,17731.00 ,19137.00 ,73.60 ,-2.34 
전라남도,해남군,1031.36 ,35867.00 ,37737.00 ,71.37 ,-2.02 
전라남도,영암군,604.24 ,28502.00 ,27114.00 ,92.04 ,-2.51 
전라남도,무안군,449.73 ,41473.00 ,41399.00 ,184.27 ,0.93 
전라남도,함평군,392.10 ,17004.00 ,17324.00 ,87.55 ,-0.20 
전라남도,영광군,474.96 ,27296.00 ,27478.00 ,115.32 ,-1.52 
전라남도,장성군,518.44 ,23300.00 ,22811.00 ,88.94 ,0.02 
전라남도,완도군,396.44 ,26092.00 ,26017.00 ,131.44 ,-1.06 
전라남도,진도군,440.12 ,15592.00 ,16173.00 ,72.17 ,-0.98 
전라남도,신안군,655.92 ,22301.00 ,19769.00 ,64.14 ,-1.36 
경상북도,포항시,1130.01 ,259491.00 ,254341.00 ,454.71 ,-0.57 
경상북도,경주시,1324.94 ,129178.00 ,128725.00 ,194.65 ,-0.60 
경상북도,김천시,1009.83 ,71556.00 ,71352.00 ,141.52 ,0.46 
경상북도,안동시,1521.98 ,82143.00 ,84129.00 ,109.25 ,-1.50 
경상북도,구미시,615.29 ,215826.00 ,205973.00 ,685.53 ,0.45 
경상북도,영주시,669.90 ,53737.00 ,54634.00 ,161.77 ,-0.80 
경상북도,영천시,919.22 ,50857.00 ,49758.00 ,109.46 ,0.09 
경상북도,상주시,1254.66 ,49344.00 ,51603.00 ,80.46 ,-0.84 
경상북도,문경시,911.83 ,35907.00 ,37387.00 ,80.38 ,-1.88 
경상북도,경산시,411.77 ,130775.00 ,128710.00 ,630.17 ,0.56 
경상북도,군위군,614.28 ,12247.00 ,11968.00 ,39.42 ,0.18 
경상북도,의성군,1175.12 ,26102.00 ,27372.00 ,45.51 ,-1.00 
경상북도,청송군,846.06 ,12891.00 ,13115.00 ,30.74 ,-1.12 
경상북도,영양군,815.64 ,8618.00 ,8861.00 ,21.43 ,-1.32 
경상북도,영덕군,741.23 ,18360.00 ,20169.00 ,51.98 ,-1.34 
경상북도,청도군,693.72 ,21221.00 ,22125.00 ,62.48 ,-0.50 
경상북도,고령군,384.06 ,17200.00 ,16568.00 ,87.92 ,-1.43 
경상북도,성주군,616.08 ,23191.00 ,21947.00 ,73.27 ,-0.15 
경상북도,칠곡군,450.93 ,62820.00 ,58044.00 ,268.03 ,-1.90 
경상북도,예천군,661.42 ,24246.00 ,25007.00 ,74.47 ,6.69 
경상북도,봉화군,1201.79 ,16550.00 ,16709.00 ,27.67 ,-0.83 
경상북도,울진군,989.90 ,25463.00 ,25511.00 ,51.49 ,-1.48 
경상북도,울릉군,72.88 ,5441.00 ,4534.00 ,136.87 ,-0.26 
경상남도,창원시,747.82 ,536167.00 ,520865.00 ,1413.48 ,-0.65 
경상남도,진주시,712.94 ,171801.00 ,174880.00 ,486.27 ,-0.02 
경상남도,통영시,239.86 ,68528.00 ,67305.00 ,566.30 ,-1.68 
경상남도,사천시,398.65 ,57476.00 ,56776.00 ,286.60 ,-0.57 
경상남도,김해시,463.36 ,268959.00 ,263173.00 ,1148.42 ,0.51 
경상남도,밀양시,798.64 ,52692.00 ,55206.00 ,135.10 ,-0.42 
경상남도,거제시,402.75 ,133467.00 ,120606.00 ,630.85 ,-1.21 
경상남도,양산시,485.41 ,170132.00 ,168403.00 ,697.42 ,6.78 
경상남도,의령군,482.86 ,13478.00 ,14371.00 ,57.68 ,-0.93 
경상남도,함안군,416.60 ,34433.00 ,33774.00 ,163.72 ,-1.06 
경상남도,창녕군,532.86 ,31844.00 ,32257.00 ,120.30 ,0.19 
경상남도,고성군,517.93 ,27064.00 ,26996.00 ,104.38 ,-1.18 
경상남도,남해군,357.56 ,21348.00 ,23294.00 ,124.85 ,-1.08 
경상남도,하동군,675.62 ,24083.00 ,24748.00 ,72.28 ,-1.59 
경상남도,산청군,794.81 ,17793.00 ,18547.00 ,45.72 ,0.67 
경상남도,함양군,725.43 ,19242.00 ,20933.00 ,55.38 ,-0.16 
경상남도,거창군,803.20 ,30476.00 ,32287.00 ,78.14 ,-0.86 
경상남도,합천군,983.47 ,22430.00 ,24570.00 ,47.79 ,-2.14 
제주특별자치도,제주시,978.69 ,240465.00 ,238235.00 ,489.12 ,1.71 
제주특별자치도,서귀포시,871.47 ,90358.00 ,88025.00 ,204.69 ,4.36 
